X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
134.0,134.0,train,1.1946305577239639E-4,23.742749646318607,0.38266963983279645
135.0,135.0,train,3.8891460602531974E-4,77.47113022562134,0.6686577195583225
136.0,136.0,train,1.9178682353963964E-4,46.721019399511185,0.49878626280165467
137.0,137.0,train,1.3600258935058567E-4,29.070382218878052,0.41373032808336274
138.0,138.0,train,4.896129914162503E-4,83.53638176940315,0.7175570444799975
139.0,139.0,train,1.669770451810415E-4,38.939155972024444,0.4642155182629911
140.0,140.0,train,3.278749157041636E-4,72.05052876742636,0.6298078928824259
141.0,141.0,train,1.3642977042162147E-4,29.210614328731722,0.4144912070912392
142.0,142.0,train,1.6955684726093013E-4,39.81151391127961,0.46803087977600266
143.0,143.0,train,2.9226050464211237E-6,0.14553830852347777,0.014938474115730281
144.0,144.0,train,1.1337983413075438E-4,22.134036150078394,0.370401240835717
145.0,145.0,train,9.082289195346919E-5,16.381930614666533,0.32031424177731826
146.0,146.0,train,7.319375682244934E-5,12.263454616610147,0.27525353109294504
147.0,147.0,train,1.539154600629114E-4,34.963851268214675,0.44402661294105
148.0,148.0,train,3.074792192612121E-4,68.84302057015405,0.614713261654168
149.0,149.0,train,4.9680098777759245E-5,8.373074965849604,0.20495064612065003
150.0,150.0,train,2.757075230611934E-4,63.31890640592414,0.5885807069819528
151.0,151.0,train,1.815272734856902E-4,43.31517572907736,0.4850460835702168
152.0,152.0,train,2.414621045822955E-4,57.797754294851856,0.5561306841118495
153.0,153.0,train,1.4482501849244942E-4,32.01227071758069,0.4290536752561315
154.0,154.0,train,2.5917951584720496E-4,60.81212411747676,0.5735332512374172
155.0,155.0,train,1.7961387472593488E-4,42.638929628460296,0.48239977145432994
156.0,156.0,train,2.7133080603934515E-4,62.81396803156821,0.5847003882627791
157.0,157.0,train,5.453523736811983E-5,9.113932120341122,0.2205623340576656
158.0,158.0,train,1.8286468733831496E-4,43.75359807124534,0.4868797742118064
159.0,159.0,train,1.0380763452363291E-4,19.43022847973457,0.350077196338421
160.0,160.0,train,3.7117688590676946E-4,75.9792996111168,0.658235150025965
161.0,161.0,train,1.6795865166402456E-4,39.260446761996775,0.46567368391855557
162.0,162.0,train,1.801091718376813E-4,42.81325534570755,0.4830873940358776
163.0,163.0,train,3.975669565902682E-4,77.9074420996346,0.6735144905611826
164.0,164.0,train,2.446805158027302E-4,58.27036882256868,0.5593966915058343
165.0,165.0,train,2.435596054512774E-4,58.07985134462653,0.5582646730211275
166.0,166.0,train,2.9635415116763074E-4,66.70250736889908,0.6059490703815521
167.0,167.0,train,6.355042724798672E-4,91.01203760073027,0.7673092140345468
168.0,168.0,train,1.2165582847925596E-4,24.39396490814092,0.38697551885301984
169.0,169.0,train,2.5007175397016347E-4,59.26112569117023,0.5647612816434425
170.0,170.0,train,1.0037745221322004E-4,18.593733045751016,0.3424710157595266
171.0,171.0,train,8.761106157950483E-4,96.22349465241042,0.8196906368667745
172.0,172.0,train,1.0805511541829804E-4,20.70448977727392,0.3592552588611656
173.0,173.0,train,2.866035327324836E-5,4.876958679307987,0.12946192547713856
174.0,174.0,train,5.773921431524541E-4,88.64682178366213,0.7497505330337243
175.0,175.0,train,0.0012754839522337244,99.58385493151587,0.8687374615982726
176.0,176.0,train,4.195376405986018E-4,79.54466537061354,0.6852303224097066
177.0,177.0,train,3.216971781546209E-4,71.15340286069883,0.6253621844795368
178.0,178.0,train,2.466903679577268E-4,58.56060968210281,0.5614119992033967
179.0,179.0,train,1.598924240977637E-4,36.85220902114734,0.4534506456308281
180.0,180.0,train,1.409388845991448E-4,30.51207752020511,0.4224038523191979
181.0,181.0,train,8.534896530930961E-4,95.90528399256156,0.8157920200179413
182.0,182.0,train,1.8433477663682178E-4,44.294227936877995,0.4888803645514252
183.0,183.0,train,1.6019823829495694E-4,36.93845671704406,0.4539242467005442
184.0,184.0,train,2.0119300180574662E-4,49.29350869567608,0.5107546499640374
185.0,185.0,train,4.92062041950469E-4,83.73097780065545,0.7185671715308701
186.0,186.0,train,3.2570292883331894E-4,71.7462744803863,0.6282569350940045
187.0,187.0,train,4.6173347312984295E-4,81.85345788125882,0.7055250645058951
188.0,188.0,train,4.605500542733956E-4,81.78296238803095,0.7049916142428048
189.0,189.0,train,3.012746056964435E-4,67.72765477443585,0.6098740299989033
190.0,190.0,train,1.275076850856268E-4,26.50985973492266,0.3981779514845019
191.0,191.0,train,6.928910993845703E-4,92.60708011279306,0.7823873705552041
192.0,192.0,train,1.0341918708592349E-4,19.321433314282,0.34922468952926433
193.0,193.0,train,6.541612659736439E-4,91.7572670630171,0.7724354455452714
194.0,194.0,train,2.8202360722716347E-4,64.26814176150563,0.5940543094133812
195.0,195.0,train,2.875552300258832E-4,64.9779925664571,0.5987298315734553
196.0,196.0,train,4.469140342517376E-4,81.02180183417893,0.698702488347109
197.0,197.0,train,8.77778374806405E-4,96.24206147354276,0.819971545754473
198.0,198.0,train,6.147423531052077E-4,90.37402996094937,0.7613261411454016
199.0,199.0,train,9.422473948035583E-4,97.04812435212644,0.8301976156650823
200.0,200.0,train,3.976223004230846E-4,77.91118523629423,0.6735450981479657
201.0,201.0,train,1.556443206840921E-4,35.612364933022654,0.4467857931267689
202.0,202.0,train,1.9762465699125272E-4,48.28949845766233,0.5062822044933281
203.0,203.0,train,2.5462297816038594E-4,60.01831606084406,0.569189356240893
204.0,204.0,train,6.130963182643793E-4,90.20513333100189,0.7608386039999492
205.0,205.0,train,4.6972177499362384E-4,82.5502002679706,0.7090760995381598
206.0,206.0,train,2.3827650713892135E-4,57.256342281417275,0.5528499422414758
207.0,207.0,train,1.4257094659456498E-4,31.189185887336052,0.4252153572403326
208.0,208.0,train,2.9032196918819496E-5,4.933400116573123,0.13092167991118214
209.0,209.0,train,1.7189169487234375E-4,40.2934686884154,0.4714374247401687
210.0,210.0,train,8.0848008753675E-4,95.30106063521828,0.80751083870297
211.0,211.0,train,1.1834709650292383E-4,23.36794432933789,0.3804549565937612
212.0,212.0,train,3.6316514220510314E-4,75.39877707974841,0.6533094357569477
213.0,213.0,train,4.213630441484062E-4,79.79190770703633,0.6861659963400794
214.0,214.0,train,1.9793101887742134E-4,48.481196989651345,0.5066693946671014
215.0,215.0,train,2.8083800263941104E-4,64.11057729296034,0.5930379801303571
216.0,216.0,train,2.95107664224222E-4,66.30755485742196,0.6049422001916911
217.0,217.0,train,2.7872633876303073E-4,63.829010752128696,0.5912151499310743
218.0,218.0,train,5.019090852633464E-4,84.21781309933529,0.7225567545968579
219.0,219.0,train,6.047982696345262E-4,89.80194710471184,0.7583501689871658
220.0,220.0,train,1.1526680416541566E-4,22.54538987111109,0.3742586567622183
221.0,221.0,train,3.527374036876365E-4,74.4102781226791,0.6466816089632677
222.0,222.0,train,7.866032995023381E-5,13.405504677912166,0.2898525132171742
223.0,223.0,train,8.481369567508031E-4,95.79834917669459,0.8148447148377752
224.0,224.0,train,2.042842763890939E-4,50.2615859436111,0.5145641578874209
225.0,225.0,train,2.586048267649286E-4,60.72503114229379,0.5729902151381834
226.0,226.0,train,5.81834564546458E-4,88.86891461226163,0.7511858267409074
227.0,227.0,train,3.807710214360427E-4,76.532926454038,0.6639526538716585
228.0,228.0,train,3.3565691888524663E-4,72.7945537302408,0.6352601277118092
229.0,229.0,train,0.0013499948265203205,99.85116710890995,0.8750772497643907
230.0,230.0,train,1.694644486422478E-4,39.789570036776794,0.46789516664883635
231.0,231.0,train,2.241445997966339E-4,54.66388180021001,0.5376913509688936
232.0,232.0,train,2.9118878634932247E-4,65.57744246689188,0.6017428728383385
233.0,233.0,train,3.381526280323396E-5,5.750285570185983,0.14927138432207976
234.0,234.0,train,8.609936207372481E-4,96.05519687315875,0.817103847469063
235.0,235.0,train,3.3775988303078817E-4,73.00856355157954,0.636706053566319
236.0,236.0,train,3.103256293090821E-4,69.47099551169067,0.6168933493710711
237.0,237.0,train,2.660827399616466E-4,62.02340957258356,0.5799499396644806
238.0,238.0,train,2.394525127853641E-4,57.51914715029859,0.5540667034383128
239.0,239.0,train,5.342990717047186E-4,86.32823143565473,0.7349173387669243
240.0,240.0,train,4.716630115331433E-4,82.76396918052015,0.7099261392323641
241.0,241.0,train,1.400242079414609E-4,30.19995390003643,0.42081610600674596
242.0,242.0,train,2.2503069770651464E-4,54.856437671985226,0.5386719610057772
243.0,243.0,train,1.514226285474051E-4,34.203695876186536,0.43999936655399535
244.0,244.0,train,1.9306088977161083E-4,47.0478278625362,0.5004415525684095
245.0,245.0,train,6.999896306103256E-4,92.88382912222185,0.7841177536925559
246.0,246.0,train,5.607557500462186E-4,88.08389748646314,0.744225143030332
247.0,247.0,train,2.005718372186406E-4,49.09549117632079,0.5099819369324787
248.0,248.0,train,1.5631633132988238E-4,35.83690007492567,0.4478509132453014
249.0,249.0,train,4.5269365110959256E-4,81.27949482619151,0.7014005775846248
250.0,250.0,train,6.60833650978442E-4,92.04088231742053,0.7742143588628222
251.0,251.0,train,5.07502040396368E-4,84.53043813819686,0.7247728047649254
252.0,252.0,train,3.8694907054673017E-4,77.30448067201374,0.6675342082117773
253.0,253.0,train,3.960239872964646E-4,77.80308458345958,0.6726588437064867
254.0,254.0,train,5.361437616750387E-4,86.44781937607819,0.73558823944136
255.0,255.0,train,1.5013871096697116E-4,33.73702586032555,0.4379023096425701
256.0,256.0,train,4.7157713851413076E-4,82.75451372972525,0.7098886416894001
257.0,257.0,train,3.385254667829338E-4,73.14983672641172,0.6372296003125314
258.0,258.0,train,2.902246967407334E-4,65.41742436040991,0.6009478431012977
259.0,259.0,train,6.171904797147848E-4,90.54989025854495,0.7620475834429988
260.0,260.0,train,6.371577222689845E-4,91.04489806040763,0.7677728274390863
261.0,261.0,train,0.0010092694140189352,97.65537214742014,0.8396656663789327
262.0,262.0,train,1.915357716062822E-5,3.0932437738187613,0.09040088400746284
263.0,263.0,train,2.948878354295323E-4,66.2377004582927,0.6047640959094561
264.0,264.0,train,1.1108385178037676E-4,21.42437471223994,0.3656430830397584
265.0,265.0,train,7.044310806908792E-4,93.04815596903951,0.7851865034520151
266.0,266.0,train,1.0574639953105898E-4,19.95359974574901,0.3542989336189936
267.0,267.0,train,4.7053600154538884E-4,82.6398632604812,0.7094332435228493
268.0,268.0,train,4.42672678168858E-4,80.78703258907304,0.6966912759639508
269.0,269.0,train,7.709744471864702E-5,13.047794815267656,0.2857390720744895
270.0,270.0,train,3.1906809228660435E-4,70.67637141013786,0.6234376485091306
271.0,271.0,train,1.182342655456087E-4,23.334899738842367,0.38023015242762115
272.0,272.0,train,3.444144292759199E-4,73.65519434546037,0.6412068923040848
273.0,273.0,train,2.9971718710506323E-4,67.38392718653436,0.6086401890091427
274.0,274.0,train,6.916982584813463E-4,92.55868341726865,0.7820938700728836
275.0,275.0,train,1.87491706321725E-4,45.25916398307018,0.49312423146809703
276.0,276.0,train,4.0866195161751807E-4,78.8968226647712,0.6795378736409949
277.0,277.0,train,1.1530132397768116E-4,22.556128721382677,0.37432878326864044
278.0,278.0,train,1.698736039968568E-4,39.88674090233448,0.4684956003481269
279.0,279.0,train,2.4388110131090922E-4,58.134494947718,0.558589949370018
280.0,280.0,train,7.12714169432767E-4,93.31903131596931,0.7871516588581687
281.0,281.0,train,7.65182998808966E-4,94.5167383101678,0.7988103559537986
282.0,282.0,train,3.622771634265847E-4,75.30845648096913,0.6527547414799145
283.0,283.0,train,7.662713234901839E-4,94.59341833317274,0.7990386787792135
284.0,284.0,train,3.0450953958431333E-4,68.27187418109949,0.6124121559575678
285.0,285.0,train,2.5290502755795532E-5,4.302004233761769,0.11600578280531866
286.0,286.0,train,2.488553499164623E-4,59.03457155991135,0.5635623336128397
287.0,287.0,train,3.99733132197604E-5,6.899605478336081,0.17178524614916474
288.0,288.0,train,4.873480544508509E-4,83.41722191203073,0.716616380830211
289.0,289.0,train,1.2238626477126867E-4,24.71798169046796,0.3883965475292945
290.0,290.0,train,4.3720662543130336E-4,80.5230336389148,0.6940593806349208
291.0,291.0,train,1.8337907460791417E-4,44.00167720941342,0.4875815636769217
292.0,292.0,train,3.808412420357383E-4,76.54673293002902,0.6639937958387722
293.0,293.0,train,2.5374202586113723E-4,59.89665230307622,0.5683392874078615
294.0,294.0,train,3.0582990602533806E-4,68.49962342786968,0.6134386485235362
295.0,295.0,train,8.326941048642422E-4,95.61970672930674,0.8120562559498439
296.0,296.0,train,6.867463565212183E-5,11.402341552976614,0.2627237615352056
297.0,297.0,train,2.0895352845564096E-4,51.34059582795598,0.5202071017071481
298.0,298.0,train,8.133900146081281E-4,95.3684368415612,0.8084502067026628
299.0,299.0,train,2.9524033401962733E-4,66.36496085774948,0.6050496110032952
300.0,300.0,train,7.074526517824519E-4,93.14885042401585,0.7859075585768337
301.0,301.0,train,1.929812285562907E-4,47.02154929484233,0.5003383757854509
302.0,302.0,train,1.74921737689823E-4,41.19129080671848,0.47579374824665044
303.0,303.0,train,1.806770661499492E-4,42.96174028532194,0.48387355867053405
304.0,304.0,train,1.0759197637526106E-4,20.520944271381993,0.35826710744695517
305.0,305.0,train,4.1950159557716654E-4,79.5398077063249,0.6852117901069131
306.0,306.0,train,2.760208362950163E-4,63.36376045889013,0.5888557055375143
307.0,307.0,train,3.000469026986013E-4,67.44501633131588,0.6089020519266981
308.0,308.0,train,5.1377444798407E-4,84.92172542186707,0.7272163294846823
309.0,309.0,train,2.49034593541822E-4,59.06795551954507,0.5637394197925768
310.0,310.0,train,7.602120478584026E-4,94.28788826828011,0.7977608544285495
311.0,311.0,train,2.9819861787639497E-4,67.02190247267586,0.6074295877056023
312.0,312.0,train,2.2169061326498984E-4,54.25592561877554,0.5349537313182092
313.0,313.0,train,5.834853781014776E-4,88.95596874487437,0.751714998160311
314.0,314.0,train,2.3822809654910158E-4,57.2494698135058,0.5527997116268496
315.0,315.0,train,4.249798960347552E-4,79.90439351303036,0.6880036050876657
316.0,316.0,train,3.1836874811477615E-4,70.50735136449866,0.6229223826547331
317.0,317.0,train,3.747032979582419E-4,76.25417129567491,0.6603591432699617
318.0,318.0,train,3.7014173013750053E-4,75.85459948867475,0.6576066124852121
319.0,319.0,train,4.5436931901214264E-4,81.35950218270789,0.7021738144393052
320.0,320.0,train,4.446608706022841E-4,80.89857258455548,0.6976373914569759
321.0,321.0,train,5.826601734649421E-4,88.91245233828613,0.7514507589036552
322.0,322.0,train,3.116886290482434E-4,69.74373620993592,0.6179285696728236
323.0,323.0,train,2.643953806315285E-4,61.74036048488572,0.5783994010010238
324.0,324.0,train,3.5561491518583713E-4,74.62701923927833,0.6485357264476741
325.0,325.0,train,2.6460323744590536E-4,61.77655448012914,0.5785910215247243
326.0,326.0,train,9.643406139775346E-5,17.671962130350472,0.333503851642972
327.0,327.0,train,1.5219665403182369E-4,34.51234765841568,0.4412560600175036
328.0,328.0,train,2.0791700931576052E-4,51.134184479153696,0.5189657928494016
329.0,329.0,train,1.1205626481132642E-4,21.741471499948386,0.36766704812376816
330.0,330.0,train,6.761446112752475E-5,11.260480155498145,0.25972131280748695
331.0,331.0,train,9.176496514065553E-5,16.573556912215338,0.32256502247471025
332.0,332.0,train,4.969241980354607E-5,8.375301782456713,0.2049910558295869
333.0,333.0,train,1.9275846373338634E-4,46.964139698511815,0.5000496256096273
334.0,334.0,train,1.9981367475026284E-4,48.885157334558464,0.5090354879152644
335.0,335.0,train,5.029666833847901E-4,84.26675197043913,0.7229785297664825
336.0,336.0,train,2.299193588020651E-4,55.75986323432512,0.5440081307170732
337.0,337.0,train,2.1373254290727822E-4,52.44338729197634,0.5258484393763593
338.0,338.0,train,2.4306312310409743E-4,57.997229852384955,0.5577614096375241
339.0,339.0,train,2.27269415195061E-4,55.392239288064594,0.5411310292789152
340.0,340.0,train,2.843308778031353E-4,64.60461870424017,0.5960176768221715
341.0,341.0,train,1.0175116544769823E-4,18.947038407702202,0.34553839805834735
342.0,342.0,train,9.494895297289188E-5,17.30238974791767,0.33006302728161535
343.0,343.0,train,3.0479820904527355E-4,68.32171500645916,0.6126370416521815
344.0,344.0,train,3.659804394188493E-4,75.59786779760178,0.6550564124074303
345.0,345.0,train,0.0010648489842870691,98.56257669972149,0.8467518079934884
346.0,346.0,train,1.7477738737819114E-4,41.1419382488557,0.4755878439428641
347.0,347.0,train,1.9566837729093482E-4,47.703603236098715,0.503795390651974
348.0,348.0,train,1.330876300420919E-4,28.015289269451248,0.40848505140113184
349.0,349.0,train,9.671598151551573E-4,97.31467010981763,0.8338447070051784
350.0,350.0,train,1.479941337138463E-4,32.948170220434925,0.43436426681445084
351.0,351.0,train,5.174016764272464E-4,85.25166837083646,0.7286096799997058
352.0,352.0,train,1.0636880788189755E-4,20.139566820272513,0.3556426464242646
353.0,353.0,train,2.037419335766681E-4,49.99087083001292,0.5139001029510855
354.0,354.0,train,1.8528141734986577E-4,44.55955315701437,0.4901603766682432
355.0,355.0,train,1.8427994247627883E-4,44.27879806115199,0.4888060228930168
356.0,356.0,train,6.508894288220385E-4,91.59584515891352,0.7715528641542594
357.0,357.0,train,1.8134239048802185E-4,43.25896162930418,0.4847915640726652
358.0,358.0,train,1.0106288949620006E-4,18.75218444531491,0.3440051233703468
359.0,359.0,train,3.452682603586034E-4,73.71944807475482,0.6417763259027787
360.0,360.0,train,4.5745444283140033E-4,81.50680822288322,0.7035870203568773
361.0,361.0,train,9.897485820845462E-5,18.24962826736489,0.33930933656388196
362.0,362.0,train,1.0024078290477819E-4,18.56213942845332,0.3421642717375632
