Predictor variable,Categorical,Sample average
gcarb,false,87.53672316384181
globcov,true,5.0
globedem,false,857.1440677966102
nlights03,false,6.0607344632768365
sdroads,false,3223.683615819209
twi,false,23.67485873982058
