Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
8.63368E-5,15.256950882,0.309387693,0.369470287,0.124293785,0
8.72511E-5,15.508622631,0.311642895,0.366717296,0.125706215,0
8.83485E-5,15.754487443,0.31433065,0.364059237,0.127118644,0
8.95099E-5,16.003832534,0.317152135,0.361401177,0.129943503,0
9.02927E-5,16.255832352,0.31904081,0.358743118,0.132768362,0
9.13234E-5,16.500969002,0.321511942,0.356179989,0.134180791,0
9.28925E-5,16.758909857,0.325239322,0.353521929,0.13700565,0
9.38246E-5,17.001653543,0.327434198,0.351053731,0.138418079,0
9.47783E-5,17.256232045,0.329665478,0.348490602,0.141242938,0
9.56931E-5,17.503664398,0.331791503,0.346022404,0.145480226,0
9.67961E-5,17.754193507,0.334337379,0.343554205,0.148305085,0
9.78722E-5,18.007325546,0.336802439,0.341086007,0.149717514,0
9.89917E-5,18.253329153,0.339347517,0.33871274,0.151129944,0
9.99806E-5,18.501993378,0.341579608,0.336339472,0.153954802,0
1.01068E-4,18.753365832,0.34401753,0.333966205,0.162429379,0
1.01963E-4,19.007092006,0.346009242,0.331592937,0.163841808,0
1.03177E-4,19.253602299,0.348692285,0.3293146,0.163841808,0
1.04065E-4,19.502310612,0.350641553,0.327036264,0.169491525,0
1.05101E-4,19.753066548,0.352898781,0.324757927,0.172316384,0
1.05916E-4,20.006296599,0.354666114,0.32247959,0.173728814,0
1.06747E-4,20.250876162,0.356455519,0.320296184,0.175141243,0
1.0756E-4,20.508271792,0.358199613,0.318017847,0.176553672,0
1.08186E-4,20.756360327,0.359534611,0.315834441,0.179378531,0
1.09221E-4,21.00648585,0.361729623,0.313651035,0.179378531,0
1.10715E-4,21.259654104,0.364872076,0.311467629,0.18079096,0
1.11262E-4,21.503931555,0.366014652,0.309379153,0.185028249,0
1.12121E-4,21.760831785,0.367801669,0.307195747,0.186440678,0
1.12941E-4,22.008391694,0.369498009,0.305107272,0.189265537,0
1.13812E-4,22.257771388,0.371288381,0.303018796,0.192090395,0
1.15152E-4,22.509675171,0.374024573,0.300930321,0.194915254,0
1.15932E-4,22.752327221,0.375608164,0.298936776,0.199152542,0
1.1681E-4,23.008453921,0.377377823,0.296848301,0.199152542,0
1.17962E-4,23.25516184,0.379687597,0.294854756,0.201977401,0
1.18811E-4,23.503806875,0.381376656,0.292861211,0.20480226,0
1.19494E-4,23.754089013,0.382730534,0.290867667,0.206214689,0
1.20641E-4,24.006381215,0.384990919,0.288874122,0.206214689,0
1.2144E-4,24.260690327,0.386555076,0.286880577,0.207627119,0
1.21834E-4,24.503986231,0.387323482,0.284981963,0.211864407,0
1.22496E-4,24.760502673,0.38860855,0.282988418,0.216101695,0
1.23052E-4,25.005900297,0.389686682,0.281089804,0.220338983,0
1.23694E-4,25.252598967,0.390924549,0.27919119,0.221751412,0
1.24507E-4,25.500873085,0.39248451,0.277292576,0.223163842,0
1.2542E-4,25.750825544,0.394229499,0.275393962,0.225988701,0
1.26119E-4,26.002345747,0.395556875,0.273495348,0.230225989,0
1.26831E-4,26.255395473,0.396902618,0.271596734,0.234463277,0
1.27508E-4,26.509978157,0.398177951,0.26969812,0.238700565,0
1.28567E-4,26.753320131,0.400161415,0.267894437,0.241525424,0
1.29503E-4,27.011372315,0.40190443,0.265995823,0.245762712,0
1.30432E-4,27.258206848,0.403624181,0.26419214,0.25,0
1.31199E-4,27.506735097,0.405036644,0.262388456,0.251412429,0
1.32181E-4,27.757072552,0.406834055,0.260584773,0.252824859,0
1.33074E-4,28.009123969,0.408460502,0.25878109,0.255649718,0
1.33634E-4,28.262429735,0.409475234,0.256977406,0.257062147,0
1.34386E-4,28.503520975,0.410832314,0.255268654,0.259887006,0
1.35027E-4,28.759453821,0.411986062,0.253464971,0.259887006,0
1.35798E-4,29.003221012,0.413365437,0.251756218,0.262711864,0
1.36586E-4,29.261900317,0.414768562,0.249952535,0.266949153,0
1.37462E-4,29.508735536,0.416321218,0.248243782,0.266949153,0
1.38443E-4,29.757247762,0.418050715,0.246535029,0.269774011,0
1.39408E-4,30.0072843,0.419741969,0.244826277,0.271186441,0
1.40213E-4,30.258983471,0.421145354,0.243117524,0.275423729,0
1.40939E-4,30.512117757,0.422403852,0.241408772,0.279661017,0
1.41627E-4,30.75225062,0.423592574,0.23979495,0.281073446,0
1.42112E-4,31.007636149,0.424427829,0.238086197,0.281073446,0
1.4276E-4,31.263971487,0.425539523,0.236377444,0.282485876,0
1.4355E-4,31.50745989,0.42688925,0.234763623,0.285310734,0
1.44154E-4,31.751990326,0.427916781,0.233149801,0.285310734,0
1.44825E-4,32.012265901,0.429053675,0.231441048,0.285310734,0
1.45774E-4,32.259444356,0.430655174,0.229827226,0.288135593,0
1.46941E-4,32.508405872,0.432610978,0.228213404,0.289548023,0
1.47585E-4,32.758718902,0.433684352,0.226599582,0.293785311,0
1.48128E-4,33.010157643,0.434586958,0.22498576,0.296610169,0
1.48733E-4,33.262413617,0.43558847,0.223371938,0.296610169,0
1.49712E-4,33.501000171,0.43720224,0.221853047,0.296610169,0
1.50173E-4,33.755992077,0.437958447,0.220239225,0.299435028,0
1.51126E-4,34.012181381,0.439515845,0.218625403,0.299435028,0
1.51501E-4,34.25429542,0.440126671,0.217106512,0.302259887,0
1.52197E-4,34.512475995,0.44125606,0.21549269,0.306497175,0
1.53261E-4,34.756893539,0.442974574,0.213973799,0.307909605,0
1.54038E-4,35.002601665,0.444223676,0.212454908,0.312146893,0
1.5465E-4,35.264974831,0.445202441,0.210841086,0.313559322,0
1.5536E-4,35.512969482,0.446333215,0.209322195,0.31779661,0
1.56073E-4,35.762226608,0.447465918,0.207803304,0.31920904,0
1.56889E-4,36.012640515,0.448755592,0.206284412,0.320621469,0
1.5748E-4,36.264215928,0.449686402,0.204765521,0.323446328,0
1.5864E-4,36.501341966,0.451502962,0.203341561,0.324858757,0
1.59551E-4,36.755918391,0.452920515,0.201822669,0.326271186,0
